review_id,product_id,customer_id,rating,review_title,review_body,review_date,helpful_votes,verified_purchase,sentiment_score
REV-399B4B2F,PROD-2A944186,CUST-B8BFA6AD,5,Good value,Rating 5/5 - Excellent experience.,2022-06-24,114,True,1.0
REV-9964C1D3,PROD-C019937A,CUST-424F4780,1,Perfect,Rating 1/5 - Disappointing.,2024-11-01,81,True,-1.0
REV-6565402B,PROD-D24F142D,CUST-CB7F10B1,5,Good value,Rating 5/5 - Excellent experience.,2021-11-05,122,False,1.0
REV-03B05D3F,PROD-B158D452,CUST-CCB717F6,5,Not as expected,Rating 5/5 - Excellent experience.,2021-11-26,64,False,1.0
REV-8000A252,PROD-EC419B43,CUST-D696DC97,5,Perfect,Rating 5/5 - Excellent experience.,2022-02-25,62,True,1.0
REV-08471FD1,PROD-433AE6BC,CUST-614A1281,4,Decent,Rating 4/5 - Excellent experience.,2021-02-05,79,True,0.5
REV-DE2118AC,PROD-FF755565,CUST-52776007,4,Decent,Rating 4/5 - Excellent experience.,2023-08-10,132,True,0.5
REV-D7CF15BD,PROD-ED23085A,CUST-AC575539,3,Great product!,Rating 3/5 - Average experience.,2024-06-21,39,False,0.0
REV-DF258255,PROD-35337371,CUST-69D35C47,5,Good value,Rating 5/5 - Excellent experience.,2021-10-27,147,False,1.0
REV-37241FEF,PROD-77F2AD22,CUST-00212437,3,Highly recommend,Rating 3/5 - Average experience.,2024-04-11,132,True,0.0
REV-57FB1344,PROD-FE86532C,CUST-8AE1C321,5,Excellent quality,Rating 5/5 - Excellent experience.,2021-05-03,46,False,1.0
REV-147A1A91,PROD-8430FB2D,CUST-6FF09EF3,3,Could be better,Rating 3/5 - Average experience.,2022-09-03,92,True,0.0
REV-F6D1A381,PROD-4122A71F,CUST-535DBE3B,5,Could be better,Rating 5/5 - Excellent experience.,2021-04-06,97,False,1.0
REV-EF795910,PROD-D7C77286,CUST-E44C5362,1,Excellent quality,Rating 1/5 - Disappointing.,2022-04-02,61,True,-1.0
REV-E2D30FDB,PROD-BEA329E8,CUST-59592CFC,5,Could be better,Rating 5/5 - Excellent experience.,2023-05-02,22,False,1.0
REV-BE9182E4,PROD-A92A6652,CUST-E769E90A,5,Not as expected,Rating 5/5 - Excellent experience.,2023-04-20,107,False,1.0
