order_id,customer_id,order_date,status,shipping_method,shipping_cost,discount_amount,tax_amount,total_amount,currency,channel,net_revenue
ORD-99BE2436,CUST-773FB4D8,2023-03-28 01:38:27,COMPLETED,Express,0.0,0.0,1284.26,17337.46,USD,email_campaign,17337.46
ORD-F12DE1D7,CUST-87FF28EB,2024-01-18 15:00:20,COMPLETED,Click & Collect,4.99,512.95,369.32,4990.87,USD,email_campaign,4472.93
ORD-DB2AC36E,CUST-798592FB,2022-08-31 23:18:16,CANCELLED,Standard,0.0,0.0,151.8,2049.29,USD,mobile_app,2049.29
ORD-FB6C68DE,CUST-95D40A54,2024-11-22 04:26:12,PROCESSING,Standard,9.99,0.0,411.27,5562.12,USD,marketplace,5552.13
ORD-B11CD77A,CUST-290EC733,2021-11-09 17:10:53,SHIPPED,Standard,4.99,0.0,249.37,3371.5,USD,email_campaign,3366.51
ORD-1628E4DB,CUST-DD993EB2,2023-11-08 18:08:27,SHIPPED,Click & Collect,4.99,0.0,1086.89,14677.99,USD,email_campaign,14673.0
ORD-EBFAB17C,CUST-F8E57030,2021-08-28 18:58:20,COMPLETED,Standard,9.99,216.23,155.68,2111.73,USD,web,1885.51
ORD-AB45711D,CUST-53334D89,2022-07-08 15:49:12,COMPLETED,Express,0.0,0.0,58.02,783.31,USD,web,783.31
ORD-42C1C24F,CUST-B57BE4F0,2024-03-09 13:23:03,CANCELLED,Express,9.99,0.0,402.75,5447.07,USD,marketplace,5437.08
ORD-8EDB28B2,CUST-BFE38CEF,2021-12-25 21:18:58,COMPLETED,Standard,0.0,0.0,367.13,4956.29,USD,social,4956.29
ORD-F13443B7,CUST-59592CFC,2024-09-22 11:42:00,COMPLETED,Express,0.0,0.0,1729.46,23347.7,USD,mobile_app,23347.7
ORD-F2AA99AA,CUST-F6CB81FD,2024-03-13 18:18:04,COMPLETED,Standard,0.0,223.51,339.73,4586.35,USD,marketplace,4362.84
ORD-A05D3685,CUST-54AC6C75,2023-11-02 12:15:00,COMPLETED,Express,0.0,476.59,724.42,9779.7,USD,email_campaign,9303.11
ORD-4D1FE697,CUST-E6909A1D,2024-07-04 11:18:04,SHIPPED,Overnight,9.99,0.0,128.98,1751.2,USD,mobile_app,1741.21
ORD-AE3CF5B1,CUST-D44951D5,2024-10-18 10:58:56,COMPLETED,Click & Collect,9.99,0.0,270.63,3663.46,USD,social,3653.47
ORD-B2C89635,CUST-406CC238,2021-05-05 12:03:56,REFUNDED,Express,14.99,437.26,314.83,4265.15,USD,social,3812.9
ORD-5D48E620,CUST-190D676A,2024-03-20 04:04:13,COMPLETED,Free Shipping,0.0,239.79,172.65,2330.78,USD,social,2090.99
ORD-4970E9F9,CUST-EA287CD2,2021-03-05 12:01:42,COMPLETED,Free Shipping,9.99,976.02,702.74,9496.95,USD,email_campaign,8510.94
ORD-F79FA2CC,CUST-FCC31BE8,2021-03-29 12:48:21,COMPLETED,Express,14.99,0.0,270.61,3668.17,USD,web,3653.18
ORD-36683E86,CUST-8E5129F9,2022-12-31 04:47:07,COMPLETED,Standard,4.99,0.0,190.08,2571.07,USD,email_campaign,2566.08
ORD-52480991,CUST-51F43843,2023-05-29 02:13:38,REFUNDED,Standard,0.0,0.0,18.25,246.35,USD,mobile_app,246.35
ORD-6FBF8241,CUST-AE077003,2023-07-11 16:06:06,CANCELLED,Click & Collect,4.99,0.0,25.23,345.55,USD,social,340.56
ORD-CDD31E46,CUST-39F9DE48,2022-10-19 16:27:41,REFUNDED,Standard,14.99,721.38,1096.5,14817.79,USD,email_campaign,14081.42
ORD-96DFFA79,CUST-A3331E06,2021-06-08 05:01:11,COMPLETED,Express,14.99,377.46,271.77,3683.92,USD,email_campaign,3291.47
ORD-CA32C638,CUST-F4706FA2,2021-03-13 23:45:55,COMPLETED,Free Shipping,4.99,1163.27,837.56,11312.01,USD,mobile_app,10143.75
ORD-B8BC70A4,CUST-444B666D,2021-12-03 19:17:27,PENDING,Free Shipping,0.0,0.0,277.69,3748.85,USD,marketplace,3748.85
ORD-9E8F0D8B,CUST-2B591366,2022-01-21 12:32:01,COMPLETED,Standard,4.99,0.0,131.74,1783.42,USD,social,1778.43
ORD-3D957B8B,CUST-1867E7A1,2021-03-03 01:54:26,SHIPPED,Express,0.0,0.0,1014.99,13702.4,USD,marketplace,13702.4
ORD-1256CD87,CUST-75D2DFA9,2021-04-30 14:24:55,COMPLETED,Click & Collect,0.0,554.67,843.1,11381.87,USD,mobile_app,10827.2
ORD-73A2325A,CUST-B9E57995,2023-07-31 00:46:35,COMPLETED,Click & Collect,9.99,480.09,345.67,4676.51,USD,marketplace,4186.43
ORD-3ECB6C20,CUST-29E9BFF8,2023-07-17 00:47:22,COMPLETED,Express,0.0,1109.73,799.01,10786.59,USD,social,9676.86
ORD-C2C2DC2C,CUST-A8B66900,2022-07-24 05:14:49,PROCESSING,Click & Collect,14.99,1471.96,1059.81,14322.39,USD,email_campaign,12835.44
ORD-D9EAC94A,CUST-B6C71672,2024-08-15 02:36:42,COMPLETED,Standard,4.99,283.24,430.53,5817.11,USD,mobile_app,5528.88
ORD-CBEE5F37,CUST-DD3073C9,2022-11-07 23:35:52,REFUNDED,Express,0.0,0.0,557.23,7522.65,USD,marketplace,7522.65
ORD-95341F07,CUST-A83C65BE,2022-05-20 00:18:34,REFUNDED,Overnight,9.99,441.39,317.8,4300.28,USD,social,3848.9
ORD-01051E2B,CUST-AF05C311,2021-02-28 09:52:57,CANCELLED,Standard,0.0,629.87,453.5,6122.28,USD,social,5492.41
ORD-DB77810A,CUST-E64FDB1D,2021-11-12 10:50:27,PENDING,Overnight,9.99,0.0,374.93,5071.49,USD,social,5061.5
ORD-DBD858C1,CUST-A81E49E7,2021-08-17 01:55:14,REFUNDED,Free Shipping,9.99,545.17,392.52,5309.05,USD,marketplace,4753.89
ORD-A96CBD8F,CUST-933A5B78,2022-07-15 23:22:57,COMPLETED,Click & Collect,0.0,18.32,13.19,178.07,USD,marketplace,159.75
ORD-BB7BD87F,CUST-4E8CF724,2023-10-18 00:18:25,REFUNDED,Standard,14.99,177.23,269.39,3651.71,USD,email_campaign,3459.49
ORD-6080D0F2,CUST-40D4B835,2021-05-30 17:48:38,REFUNDED,Standard,9.99,0.0,895.9,12104.66,USD,web,12094.67
ORD-83BB93CA,CUST-5BEE394F,2023-04-27 09:08:18,PROCESSING,Free Shipping,0.0,0.0,590.27,7968.7,USD,mobile_app,7968.7
ORD-6339940D,CUST-0B087D55,2023-07-08 14:48:35,COMPLETED,Express,4.99,0.0,107.71,1459.1,USD,marketplace,1454.11
ORD-E447AAF7,CUST-4083E430,2021-12-21 20:35:37,COMPLETED,Free Shipping,9.99,0.0,735.9,9944.62,USD,web,9934.63
ORD-A9420696,CUST-505AF04A,2023-01-06 13:55:10,REFUNDED,Express,4.99,185.78,282.38,3817.15,USD,web,3626.38
ORD-BDBB242A,CUST-A7C2D8FC,2021-11-07 23:48:29,PROCESSING,Overnight,9.99,0.0,381.52,5160.52,USD,social,5150.53
ORD-49F2C7AB,CUST-2E28CC3C,2022-07-28 07:12:27,PENDING,Express,0.0,405.93,617.02,8329.76,USD,marketplace,7923.83
ORD-518A58CF,CUST-FC3AD25E,2021-02-17 02:28:38,PENDING,Click & Collect,0.0,55.49,84.34,1138.57,USD,web,1083.08
ORD-4ADB6EAE,CUST-4E1069A7,2021-08-01 04:37:48,PENDING,Express,0.0,0.0,659.81,8907.44,USD,mobile_app,8907.44
ORD-0F8F84A9,CUST-F32D9B9A,2024-01-29 06:33:39,COMPLETED,Free Shipping,0.0,0.0,80.89,1092.03,USD,web,1092.03
ORD-D0DA3B0F,CUST-AD333298,2023-08-16 14:16:52,COMPLETED,Standard,0.0,0.0,386.54,5218.32,USD,marketplace,5218.32
ORD-870F8373,CUST-AFE6E962,2023-12-11 09:06:09,COMPLETED,Click & Collect,4.99,0.0,723.92,9777.94,USD,mobile_app,9772.95
ORD-CA95A7DD,CUST-F8872F03,2024-12-27 13:11:46,CANCELLED,Overnight,0.0,0.0,813.32,10979.83,USD,web,10979.83
