payment_id,order_id,payment_date,payment_method,payment_status,amount,gateway,transaction_ref
PAY-AD248DD5,ORD-99BE2436,2023-03-28 02:03:27,google_pay,SUCCESS,17337.46,Square,TXN-3927ADC607D8C832
PAY-74C79A81,ORD-F12DE1D7,2024-01-18 15:07:20,buy_now_pay_later,SUCCESS,4990.87,Stripe,TXN-FCF71640FC406998
PAY-58E940D5,ORD-B11CD77A,2021-11-09 17:21:53,buy_now_pay_later,SUCCESS,3371.5,Braintree,TXN-A322FA0EA5BE2199
PAY-808B04B9,ORD-1628E4DB,2023-11-08 18:33:27,buy_now_pay_later,SUCCESS,14677.99,Square,TXN-1E9E0055B2233F3B
PAY-CAC76360,ORD-EBFAB17C,2021-08-28 19:12:20,paypal,SUCCESS,2111.73,Braintree,TXN-CFBDE43C8B1C93CE
PAY-76D43F52,ORD-AB45711D,2022-07-08 16:17:12,debit_card,SUCCESS,783.31,Adyen,TXN-622F532CD607DBA4
PAY-763A375D,ORD-8EDB28B2,2021-12-25 21:43:58,paypal,SUCCESS,4956.29,Adyen,TXN-6BB251FDC6678F66
PAY-C27D0F74,ORD-F13443B7,2024-09-22 12:07:00,google_pay,SUCCESS,23347.7,Adyen,TXN-203DDC54E892E783
PAY-8532A459,ORD-F2AA99AA,2024-03-13 18:45:04,buy_now_pay_later,SUCCESS,4586.35,Square,TXN-71E7D30C0F5B0889
PAY-21ACE81F,ORD-A05D3685,2023-11-02 12:19:00,paypal,SUCCESS,9779.7,Braintree,TXN-6CBEF399B094A71B
PAY-D7E80F16,ORD-4D1FE697,2024-07-04 11:40:04,debit_card,SUCCESS,1751.2,Stripe,TXN-8294D2FBC7E233BA
PAY-555A9A4B,ORD-AE3CF5B1,2024-10-18 11:28:56,paypal,SUCCESS,3663.46,Braintree,TXN-EA138AE742138E0B
PAY-8DB443BE,ORD-B2C89635,2021-05-05 12:07:56,apple_pay,REFUNDED,4265.15,Square,TXN-42B86C24274ABCB2
PAY-D365325B,ORD-5D48E620,2024-03-20 04:11:13,credit_card,SUCCESS,2330.78,Stripe,TXN-ECA4982616BCF3B3
PAY-CC46D54E,ORD-4970E9F9,2021-03-05 12:19:42,credit_card,SUCCESS,9496.95,Stripe,TXN-99A7B052B227C16D
PAY-F32B3B31,ORD-F79FA2CC,2021-03-29 13:03:21,bank_transfer,SUCCESS,3668.17,Stripe,TXN-EF9F2D65DCFE9A63
PAY-3A55B6B9,ORD-36683E86,2022-12-31 05:15:07,debit_card,SUCCESS,2571.07,Square,TXN-CDEFDC333E52CF5A
PAY-80ABB244,ORD-52480991,2023-05-29 02:18:38,paypal,REFUNDED,246.35,Square,TXN-6B2D6DBBAABFFF90
PAY-386A21AE,ORD-CDD31E46,2022-10-19 16:36:41,paypal,REFUNDED,14817.79,Stripe,TXN-995C57DCED8D79CE
PAY-AA316AC6,ORD-96DFFA79,2021-06-08 05:21:11,google_pay,SUCCESS,3683.92,Braintree,TXN-CD69DE6C640B6CDE
PAY-B117AA28,ORD-CA32C638,2021-03-13 23:59:55,credit_card,SUCCESS,11312.01,Adyen,TXN-E73C6523E59CFCB9
PAY-7EE989A1,ORD-B8BC70A4,2021-12-03 19:32:27,paypal,SUCCESS,3748.85,Square,TXN-F17DB34C6686AED9
PAY-FAA3EE3A,ORD-9E8F0D8B,2022-01-21 12:54:01,apple_pay,SUCCESS,1783.42,Stripe,TXN-8A4D4D6C732C655D
PAY-3740BDC1,ORD-3D957B8B,2021-03-03 01:59:26,credit_card,SUCCESS,13702.4,Square,TXN-2B0E164EC36F7270
PAY-281184FB,ORD-1256CD87,2021-04-30 14:49:55,buy_now_pay_later,SUCCESS,11381.87,Adyen,TXN-DB92C87253CF3D55
PAY-D10697BA,ORD-73A2325A,2023-07-31 01:13:35,bank_transfer,SUCCESS,4676.51,Adyen,TXN-CD12F7DE7D19FD6C
PAY-84F439C1,ORD-3ECB6C20,2023-07-17 01:02:22,credit_card,SUCCESS,10786.59,Adyen,TXN-F7DFFC6477B2D10E
PAY-8BB58EB5,ORD-D9EAC94A,2024-08-15 02:37:42,google_pay,SUCCESS,5817.11,Braintree,TXN-80CFD0D54DF19FB4
PAY-DEB7F4D7,ORD-CBEE5F37,2022-11-07 23:50:52,buy_now_pay_later,REFUNDED,7522.65,PayPal,TXN-F04C80D38E4AB5EB
PAY-F3DB0410,ORD-95341F07,2022-05-20 00:28:34,buy_now_pay_later,REFUNDED,4300.28,PayPal,TXN-DC7783570415ECF0
PAY-A33AA90A,ORD-DB77810A,2021-11-12 11:17:27,paypal,SUCCESS,5071.49,PayPal,TXN-1D7D6D6D40AF74EF
PAY-6521821F,ORD-DBD858C1,2021-08-17 02:04:14,google_pay,REFUNDED,5309.05,PayPal,TXN-BC411174E9616521
PAY-98079B8E,ORD-A96CBD8F,2022-07-15 23:34:57,paypal,SUCCESS,178.07,Braintree,TXN-F06A83D2C8A06B2D
